source_pricelist,source_page,source_line,section,context,product_name,article_number,dimensions_mm,weight_kg,price_eur_ex_vat,eur_usd_rate,price_usd_ex_vat,price_usd_rounded,retail_suffix_note,new_product_marker,raw_line
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,9,INVERTERS,VE.Bus,Inverter 12/250 VE.Direct Schuko*,PIN121251200,86 x 165 x 260,2.4,93.00,1.1461,106.59,107,,,"Inverter 12/250 VE.Direct Schuko* PIN121251200 86 x 165 x 260 √ 2,4 € 93,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,10,INVERTERS,VE.Bus,Inverter 12/375 VE.Direct Schuko*,PIN121371200,86 x 165 x 260,3.0,120.00,1.1461,137.53,138,,,"Inverter 12/375 VE.Direct Schuko* PIN121371200 86 x 165 x 260 √ 3,0 € 120,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,11,INVERTERS,VE.Bus,Inverter 12/500 VE.Direct Schuko*,PIN121501200,86 x 172 x 275,3.9,150.00,1.1461,171.91,172,,,"Inverter 12/500 VE.Direct Schuko* PIN121501200 86 x 172 x 275 √ 3,9 € 150,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,12,INVERTERS,VE.Bus,Inverter 12/800 VE.Direct Schuko*,PIN121801200,105 x 216 x 305,5.5,243.00,1.1461,278.50,278,,,"Inverter 12/375 VE.Direct Inverter 12/800 VE.Direct Schuko* PIN121801200 105 x 216 x 305 √ 5,5 € 243,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,13,INVERTERS,VE.Bus,Inverter 12/1200 VE.Direct Schuko*,PIN122121210,117 x 232 x 362,7.4,286.00,1.1461,327.78,328,,,"Inverter 12/1200 VE.Direct Schuko* PIN122121210 117 x 232 x 362 √ 7,4 € 286,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,14,INVERTERS,VE.Bus,Inverter 12/1600 VE.Direct Schuko*,PIN122161200,117 x 231 x 395,7.4,333.00,1.1461,381.65,382,,,"Inverter 12/1600 VE.Direct Schuko* PIN122161200 117 x 231 x 395 √ 7,4 € 333,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,16,INVERTERS,VE.Bus,Inverter 24/250 VE.Direct Schuko*,PIN241251200,86 x 165 x 260,2.4,103.00,1.1461,118.05,118,,,"Inverter 24/250 VE.Direct Schuko* PIN241251200 86 x 165 x 260 √ 2,4 € 103,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,17,INVERTERS,VE.Bus,Inverter 24/375 VE.Direct Schuko*,PIN241371200,86 x 165 x 260,3.0,133.00,1.1461,152.43,152,,,"IEC Schuko Inverter 24/375 VE.Direct Schuko* PIN241371200 86 x 165 x 260 √ 3,0 € 133,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,18,INVERTERS,VE.Bus,Inverter 24/500 VE.Direct Schuko*,PIN241501200,86 x 172 x 275,3.9,166.00,1.1461,190.25,190,,,"Inverter 24/500 VE.Direct Schuko* PIN241501200 86 x 172 x 275 √ 3,9 € 166,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,19,INVERTERS,VE.Bus,Inverter 24/800 VE.Direct Schuko*,PIN241801200,105 x 216 x 305,5.5,270.00,1.1461,309.45,309,,,"Inverter 24/800 VE.Direct Schuko* PIN241801200 105 x 216 x 305 √ 5,5 € 270,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,20,INVERTERS,VE.Bus,Inverter 24/1200 VE.Direct Schuko*,PIN242121200,117 x 232 x 327,7.4,340.00,1.1461,389.67,390,,,"Inverter 24/1200 VE.Direct Schuko* PIN242121200 117 x 232 x 327 √ 7,4 € 340,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,22,INVERTERS,VE.Bus,Inverter C 12/1200,CIN121220000,375 x 214 x 110,10.0,418.00,1.1461,479.07,479,,,"AU/NZ UK Inverter C 12/1200 CIN121220000 375 x 214 x 110 √ √ 10 € 418,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,23,INVERTERS,VE.Bus,Inverter C 12/1600,CIN122160000,375 x 214 x 110,10.0,588.00,1.1461,673.91,674,,,"Inverter C 12/1600 CIN122160000 375 x 214 x 110 √ √ 10 € 588,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,24,INVERTERS,VE.Bus,Inverter 12/1600 Smart,PIN122161000,485 x 219 x 125,12.0,574.00,1.1461,657.86,658,,,"Inverter 12/1600 Smart PIN122161000 485 x 219 x 125 √ 12 € 574,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,25,INVERTERS,VE.Bus,Inverter C 12/2000,CIN122200000,520 x 255 x 125,13.0,675.00,1.1461,773.62,774,,,"Inverter C 12/2000 CIN122200000 520 x 255 x 125 √ √ 13 € 675,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,26,INVERTERS,VE.Bus,Inverter 12/2000 Smart,PIN122201000,485 x 219 x 125,13.0,650.00,1.1461,744.96,745,,,"Inverter 12/2000 Smart PIN122201000 485 x 219 x 125 √ 13 € 650,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,27,INVERTERS,VE.Bus,Inverter 12/3000,PIN123020000,362 x 258 x 218,18.0,1020.00,1.1461,1169.02,1169,,,"Inverter 12/3000 PIN123020000 362 x 258 x 218 √ √ 18 € 1.020,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,28,INVERTERS,VE.Bus,Inverter 12/3000 Smart,PIN122300000,533 x 285 x 150,18.0,875.00,1.1461,1002.84,1003,,,"Inverter 12/3000 Smart PIN122300000 533 x 285 x 150 √ 18 € 875,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,30,INVERTERS,Inverter C,Inverter C 24/1600,CIN242160000,375 x 214 x 110,10.0,588.00,1.1461,673.91,674,,,"Inverter C 24/1600 CIN242160000 375 x 214 x 110 √ √ 10 € 588,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,31,INVERTERS,Inverter C,Inverter 24/1600 Smart,PIN242161000,485 x 219 x 125,12.0,574.00,1.1461,657.86,658,,,"Inverter 24/1600 Smart PIN242161000 485 x 219 x 125 √ 12 € 574,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,32,INVERTERS,Inverter C,Inverter C 24/2000,CIN242200000,520 x 255 x 125,13.0,711.00,1.1461,814.88,815,,,"Inverter C 24/2000 CIN242200000 520 x 255 x 125 √ √ 13 € 711,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,33,INVERTERS,Inverter C,Inverter 24/2000 Smart,PIN242201000,485 x 219 x 125,13.0,684.00,1.1461,783.93,784,,,"Inverter 24/2000 Smart PIN242201000 485 x 219 x 125 √ 13 € 684,00"
